stem,gan_edge_iou,gan_chamfer,gan_sketch_lpips,gan_psnr,gan_ssim,gan_lpips,gan_bnd_lpips,gan_face_lpips,gan_arcface_cos,dit_edge_iou,dit_chamfer,dit_sketch_lpips,dit_psnr,dit_ssim,dit_lpips,dit_bnd_lpips,dit_face_lpips,dit_arcface_cos
braid_2534,0.10448974487243622,2.4107915571411582,0.8126343488693237,10.099905615499434,0.5602803219268838,0.3572908043861389,0.018881840631365776,0.0017610848881304264,0.6731758713722229,0.10124110124110124,2.417706343017727,0.7913376688957214,10.639482969394056,0.5623177488844886,0.3428022861480713,0.014322241768240929,0.0,0.7322561144828796
braid_2537,0.1264135702746365,1.6771970104991416,0.8569416999816895,8.870086790640999,0.4269243177908446,0.4528651535511017,0.049944039434194565,0.004253086633980274,0.8748223185539246,0.12881421398223253,1.6616108918996229,0.880349338054657,7.920620095613119,0.4049896169762215,0.4568403959274292,0.07525042444467545,0.0,0.921341061592102
braid_2539,0.09420739820810786,2.3553783150440335,0.9091658592224121,10.025378444411352,0.3702746412376839,0.4143386483192444,0.012244614772498608,0.0022098044864833355,0.8659473061561584,0.08798527736394707,2.4216184510665455,0.9191566705703735,10.423531066118702,0.3615200151768412,0.3974839150905609,0.012377907522022724,0.0,0.9102596044540405
braid_2548,0.10072714268685183,2.3052460697309676,0.56634521484375,7.993790391552819,0.674633715747281,0.28485560417175293,0.04808417335152626,0.005063679534941912,0.7073737978935242,0.09578696343402225,2.3095917010048193,0.525121808052063,7.926812203047482,0.6803020425925266,0.28542593121528625,0.075605109333992,0.0,0.7351267337799072
braid_2562,0.08990305469178708,2.490478801393851,0.4787140190601349,12.648367616151724,0.7740277379169193,0.19037683308124542,0.005421616602689028,0.0019012319389730692,0.8075812458992004,0.08734885399747339,2.5410824291433904,0.5057331919670105,12.63678760202688,0.7635180880938212,0.17746520042419434,0.01048034243285656,0.0,0.8595770597457886
braid_2572,0.10192507804370447,2.4381981735721228,0.9041684865951538,10.033958566707977,0.5002654521583207,0.41495731472969055,0.0126468101516366,0.0020495618227869272,0.7110010385513306,0.09649384187524832,2.47928824559688,0.956092119216919,10.84259041932456,0.4872958902131816,0.4129205048084259,0.016824845224618912,0.0,0.6630417108535767
braid_2574,0.14312181565539603,1.4587801133011487,0.6708401441574097,11.459732343283529,0.7224370019114698,0.3020632565021515,0.05922648310661316,0.0039037177339196205,0.7312199473381042,0.14438934378964363,1.4000007168254927,0.7055484652519226,12.112625853564666,0.7165253446486893,0.3180508017539978,0.04921383410692215,0.0,0.7992554903030396
braid_2576,0.12671183508721348,1.858240653981459,0.7644811272621155,10.99446851914097,0.615109131108114,0.3614377975463867,0.025757288560271263,0.0022517323959618807,0.8418973088264465,0.12306807562360722,1.9423494109041082,0.7730817198753357,10.045099390500736,0.6332145077798428,0.31734856963157654,0.015941737219691277,0.0,0.8805700540542603
braid_2590,0.13123855311355312,1.7642229353031413,0.8863545656204224,11.07068032100039,0.47515834539411667,0.41583284735679626,0.023048032075166702,0.009885028004646301,0.7521960735321045,0.13979411931979754,1.7296275440745967,0.9278255105018616,12.398695095616395,0.47398391582315386,0.44576650857925415,0.022321537137031555,0.0,0.7763086557388306
braid_2592,0.12177228630725422,2.1958235831074173,0.9318077564239502,9.7689538738236,0.436171588812029,0.4496821463108063,0.04062256962060928,0.0019846041686832905,0.7170838117599487,0.12158641320081058,2.199050297043642,0.9741615056991577,9.620424356917773,0.4506528641678404,0.47646933794021606,0.04789543151855469,0.0,0.6867886781692505
braid_2617,0.1268591426071741,1.6599267713936103,0.7872384786605835,12.728077572074262,0.6640442485132362,0.27942943572998047,0.05856899917125702,0.0027508470229804516,0.8470114469528198,0.12932992617830777,1.7124535242400543,0.8173390626907349,13.730194030341725,0.6749964601058993,0.2629828453063965,0.053863607347011566,0.0,0.8961259126663208
braid_2625,0.10715973534971644,1.968225511492071,0.5417337417602539,7.606500996701806,0.6965882124816775,0.29827451705932617,0.06302735954523087,0.002697582123801112,0.8577840328216553,0.11091276924907771,1.9421840925040452,0.5370489358901978,9.79642791279476,0.7114830381141221,0.281023234128952,0.05214766412973404,0.0,0.8632227182388306
braid_2652,0.09785468528637928,2.1487130418710434,0.5543833374977112,10.971689314349955,0.6820104297318821,0.23265773057937622,0.00906605739146471,0.0015007294714450836,0.8182939291000366,0.09938132181086123,2.100507667252695,0.5896088480949402,10.829057794532819,0.6818335219726666,0.2298852801322937,0.008976018987596035,0.0,0.8445427417755127
braid_2653,0.11927447243983344,1.863576433755886,0.48453038930892944,9.832568362165624,0.7557819210018577,0.1972472369670868,0.028288980945944786,0.0029692768584936857,0.9128473401069641,0.11997559818342032,1.8568171275227376,0.5207070112228394,10.22950228341043,0.752938881876954,0.21645188331604004,0.02177952416241169,0.0,0.9219284057617188
